"idorder","orderDate","priority_idpriority","customer_idcustomer"
"AO-2013-6050","2013-12-10","1","JP-5460"
"AO-2013-6140","2013-12-27","2","BP-1290"
"AO-2013-6910","2013-12-31","1","JH-5985"
"AO-2013-7170","2013-08-12","1","HG-4845"
"AO-2013-7370","2013-11-13","1","MM-7920"
"AO-2014-1550","2014-04-11","2","SC-10020"
"AO-2014-190","2014-12-05","1","RW-9540"
"AO-2014-2110","2014-10-17","2","EP-3915"
"AO-2014-2160","2014-05-20","1","LC-7050"
"AO-2014-2270","2014-05-28","3","BD-1725"
"AO-2014-2460","2014-11-06","1","LM-7065"
"AO-2014-2730","2014-09-25","1","JF-5415"
"AO-2014-4190","2014-11-22","1","DR-2940"
"AO-2014-420","2014-11-18","2","DV-3465"
"AO-2014-4830","2014-08-31","2","JM-5655"
"AO-2014-5290","2014-12-10","1","RM-9375"
"AO-2014-5450","2014-02-19","1","DC-2850"
"AO-2014-5560","2014-04-12","2","TB-11355"
"AO-2014-620","2014-08-25","1","AZ-750"
"AO-2014-650","2014-09-11","2","LC-6930"
"AO-2014-6780","2014-01-13","1","SK-9990"
"AO-2014-6900","2014-08-15","1","AJ-945"
"AO-2014-7730","2014-12-31","2","KL-6645"
"AO-2014-8210","2014-11-04","2","KD-6345"
"AO-2014-8250","2014-09-18","3","GM-4500"
"AO-2014-9370","2014-05-27","1","AH-585"
"AU-2011-0","2011-09-02","4","AG-675"
"AU-2011-4210","2011-05-05","1","PM-8940"
"AU-2011-5790","2011-04-20","1","BS-1590"
"AU-2011-790","2011-08-18","1","DS-3030"
"AU-2011-9050","2011-07-29","1","JL-5130"
"AU-2012-1790","2012-06-11","1","EH-4185"
"AU-2012-6590","2012-04-12","2","SK-9990"
"AU-2012-940","2012-06-12","1","LB-6795"
"AU-2013-6980","2013-03-26","2","SN-10710"
"AU-2014-1430","2014-06-26","1","PF-9120"
"AU-2014-1530","2014-09-03","1","FM-4215"
"AU-2014-3670","2014-12-17","1","DA-3450"
"AU-2014-6560","2014-08-27","2","MD-7860"
"AU-2014-6650","2014-11-26","1","EB-3975"
"AU-2014-7090","2014-03-20","1","SU-10665"
"AU-2014-800","2014-07-14","2","GB-4530"
"AU-2014-9620","2014-08-26","1","CA-1965"
"BA-2013-8930","2013-09-20","1","ES-4080"
"BK-2011-6660","2011-12-02","2","EB-3750"
"BN-2011-1530","2011-01-29","1","NB-8655"
"BN-2011-2620","2011-04-28","2","BS-1590"
"BN-2012-3640","2012-11-19","1","AS-225"
"BN-2012-6200","2012-06-29","1","CC-2670"
"BN-2012-8190","2012-04-16","1","AA-375"
"BN-2013-6580","2013-11-28","2","KD-6495"
"BN-2013-9270","2013-09-22","1","KB-6315"
"BN-2014-1970","2014-02-28","1","TB-11355"
"BN-2014-2740","2014-12-10","2","AS-90"
"BN-2014-4710","2014-06-03","1","RS-9420"
"BN-2014-4860","2014-09-04","1","TS-11430"
"BN-2014-4920","2014-09-19","1","TP-11565"
"BN-2014-5090","2014-06-13","1","MB-7305"
"BN-2014-9200","2014-11-27","1","PF-9165"
"BN-2014-9930","2014-03-09","1","GH-4410"
"BO-2011-470","2011-08-12","4","SS-10590"
"BO-2011-6900","2011-08-29","1","DK-2835"
"BO-2011-7760","2011-11-21","1","RB-9570"
"BO-2011-9310","2011-08-27","1","ES-4020"
"BO-2012-2360","2012-08-16","2","GH-4410"
"BO-2012-4390","2012-09-11","1","JK-5730"
"BO-2012-5160","2012-09-06","2","CS-2175"
"BO-2012-5950","2012-07-23","3","AM-705"
"BO-2012-6660","2012-03-28","2","DJ-3630"
"BO-2012-7210","2012-06-08","1","NR-8550"
"BO-2012-8820","2012-06-12","2","MM-8280"
"BO-2013-1280","2013-08-08","2","KH-6360"
"BO-2013-1400","2013-12-11","3","ML-8265"
"BO-2013-2880","2013-11-08","1","KB-6240"
"BO-2013-3500","2013-06-25","1","AF-870"
"BO-2013-3910","2013-07-09","1","PO-9180"
"BO-2013-8060","2013-11-06","4","PJ-8835"
"BO-2014-1160","2014-09-19","2","DL-3315"
"BO-2014-1510","2014-06-03","1","PB-9105"
"BO-2014-170","2014-06-25","1","TC-11145"
"BO-2014-1930","2014-09-08","3","JF-5490"
"BO-2014-2490","2014-08-06","1","VG-11790"
"BO-2014-2640","2014-08-08","2","TW-11025"
"BO-2014-4120","2014-12-25","4","LC-7050"
"BO-2014-5730","2014-06-26","2","ME-7320"
"BO-2014-6700","2014-06-06","2","CD-2790"
"BO-2014-8690","2014-03-28","1","MS-7980"
"BO-2014-8960","2014-02-11","2","MZ-7335"
"BO-2014-9040","2014-03-02","1","TS-11655"
"BO-2014-9070","2014-07-08","3","TW-11025"
"BO-2014-9490","2014-06-17","1","PB-9150"
"BO-2014-9810","2014-07-15","1","ML-7410"
"BU-2011-1220","2011-08-06","4","ME-7725"
"BU-2011-5830","2011-05-10","1","VS-11820"
"BU-2012-1110","2012-11-15","2","EK-3795"
"BU-2012-1740","2012-09-03","1","MH-7455"
"BU-2012-460","2012-07-21","1","AH-30"
"BU-2012-8790","2012-06-01","2","JO-5280"
"BU-2012-8970","2012-09-06","2","RH-9555"
"BU-2013-2970","2013-11-11","1","TH-11100"
"BU-2013-5690","2013-06-06","1","VT-11700"
"BU-2013-6440","2013-11-11","1","PC-8745"
"BU-2013-7380","2013-01-31","2","MH-7455"
"BU-2013-9480","2013-12-20","2","CS-1860"
"BU-2014-2740","2014-01-13","1","GD-4590"
"BU-2014-7540","2014-03-01","1","MH-8025"
"BU-2014-9020","2014-04-28","2","LH-7155"
"BU-2014-9730","2014-09-08","2","CJ-1875"
"BY-2011-3790","2011-05-03","2","MV-7485"
"BY-2012-8590","2012-11-14","1","KA-6525"
"CA-2011-100090","2011-07-08","1","EB-13705"
"CA-2011-100293","2011-03-14","1","NF-18475"
"CA-2011-100328","2011-01-29","1","JC-15340"
"CA-2011-100363","2011-04-08","1","JM-15655"
"CA-2011-100391","2011-05-25","1","BW-11065"
"CA-2011-100678","2011-04-18","1","KM-16720"
"CA-2011-100706","2011-12-16","1","LE-16810"
"CA-2011-100762","2011-11-24","1","NG-18355"
"CA-2011-100916","2011-10-21","1","FH-14275"
"CA-2011-101147","2011-12-02","2","MC-17575"
"CA-2011-101175","2011-12-09","1","DM-12955"
"CA-2011-101364","2011-12-22","1","TW-21025"
"CA-2011-101462","2011-04-20","1","BP-11230"
"CA-2011-101560","2011-11-28","4","CS-12250"
"CA-2011-101602","2011-12-15","1","MC-18100"
"CA-2011-101770","2011-03-31","1","KB-16240"
"CA-2011-101833","2011-11-17","2","FG-14260"
"CA-2011-101931","2011-10-28","2","TS-21370"
"CA-2011-102008","2011-09-30","2","RA-19915"
"CA-2011-102295","2011-11-24","4","EH-13990"
"CA-2011-102330","2011-12-29","1","AI-10855"
"CA-2011-102645","2011-01-24","1","IM-15055"
"CA-2011-102652","2011-04-06","1","AY-10555"
"CA-2011-102673","2011-11-01","1","KH-16630"
"CA-2011-102869","2011-09-09","1","LC-17140"
"CA-2011-102988","2011-04-05","2","GM-14695"
"CA-2011-103086","2011-10-17","4","EB-14170"
"CA-2011-103100","2011-12-20","1","AB-10105"
"CA-2011-103191","2011-09-22","2","VG-21805"
"CA-2011-103219","2011-11-09","1","BF-11215"
"CA-2011-103310","2011-05-10","1","GM-14680"
"CA-2011-103317","2011-07-05","2","DM-13525"
"CA-2011-103331","2011-08-26","1","KB-16315"
"CA-2011-103429","2011-05-30","4","LW-16825"
"CA-2011-103492","2011-10-10","1","CM-12715"
"CA-2011-103527","2011-09-09","2","CC-12220"
"CA-2011-103590","2011-11-30","2","JL-15505"
"CA-2011-103702","2011-09-12","1","AF-10885"
"CA-2011-103744","2011-02-24","1","MG-17875"
"CA-2011-103800","2011-01-04","2","DP-13000"
"CA-2011-103849","2011-05-11","1","PG-18895"
"CA-2011-103940","2011-09-17","1","BN-11515"
"CA-2011-103989","2011-03-19","2","MC-17605"
"CA-2011-104178","2011-08-25","2","JM-15265"
"CA-2011-104269","2011-03-01","1","DB-13060"
"CA-2011-104283","2011-06-27","1","LM-17065"
"CA-2011-104472","2011-06-02","1","CK-12325"
"CA-2011-104563","2011-03-07","1","CM-12715"
"CA-2011-104738","2011-12-30","4","SP-20620"
"CA-2011-104773","2011-12-08","2","TB-21175"
"CA-2011-104808","2011-02-05","2","MH-17440"
"CA-2011-105165","2011-09-07","1","SZ-20035"
"CA-2011-105249","2011-11-28","1","DH-13675"
"CA-2011-105270","2011-11-11","3","AP-10915"
"CA-2011-105417","2011-01-08","1","VS-21820"
"CA-2011-105648","2011-03-03","1","EJ-14155"
"CA-2011-105872","2011-05-30","3","JG-15160"
"CA-2011-105893","2011-11-11","1","PK-19075"
"CA-2011-105984","2011-11-24","2","MY-18295"
"CA-2011-106054","2011-01-07","4","JO-15145"
"CA-2011-106229","2011-06-07","2","NR-18550"
"CA-2011-106264","2011-12-26","1","CK-12595"
"CA-2011-106376","2011-12-05","1","BS-11590"
"CA-2011-106439","2011-10-31","2","GG-14650"
"CA-2011-106572","2011-09-05","1","NP-18700"
"CA-2011-106719","2011-08-24","1","RB-19645"
"CA-2011-106726","2011-12-06","4","RS-19765"
"CA-2011-106803","2011-12-29","1","DC-13285"
"CA-2011-106810","2011-05-14","1","AJ-10795"
"CA-2011-107139","2011-07-05","1","DP-13390"
"CA-2011-107153","2011-09-28","1","GZ-14545"
"CA-2011-107398","2011-08-25","1","BS-11590"
"CA-2011-107454","2011-11-02","2","RD-19720"
"CA-2011-107524","2011-03-02","1","KN-16705"
"CA-2011-107573","2011-12-12","2","PB-19150"
"CA-2011-107706","2011-02-15","2","ST-20530"
"CA-2011-107811","2011-04-29","1","LA-16780"
"CA-2011-107818","2011-09-08","3","MC-17275"
"CA-2011-107916","2011-08-24","1","JP-15460"
"CA-2011-108147","2011-06-08","1","RD-19480"
"CA-2011-108273","2011-12-16","1","EJ-13720"
"CA-2011-108609","2011-10-31","4","AJ-10780"
"CA-2011-108707","2011-10-24","1","DB-12910"
"CA-2011-108903","2011-10-03","2","DO-13435"
"CA-2011-109043","2011-08-15","2","CS-12355"
"CA-2011-109127","2011-12-21","1","JC-15775"
"CA-2011-109134","2011-11-05","1","DE-13255"
"CA-2011-109218","2011-06-30","1","AR-10825"
"CA-2011-109232","2011-01-14","1","ND-18370"
"CA-2011-109302","2011-08-12","2","CS-12175"
"CA-2011-109491","2011-02-21","1","LC-16930"
"CA-2011-109680","2011-10-06","2","VP-21760"
"CA-2011-109855","2011-09-01","2","LH-16900"
"CA-2011-109897","2011-08-12","2","BW-11200"
"CA-2011-109904","2011-07-14","1","BF-10975"
"CA-2011-109932","2011-12-09","2","VP-21760"
"CA-2011-110030","2011-12-06","2","LF-17185"
"CA-2011-110065","2011-08-05","1","SP-20650"
"CA-2011-110072","2011-10-22","1","MG-17680"
"CA-2011-110184","2011-07-12","2","BF-11170"
"CA-2011-110219","2011-05-05","2","EB-13870"
"CA-2011-110352","2011-11-23","3","ED-13885"
"CA-2011-110408","2011-10-18","1","AS-10225"
"CA-2011-110422","2011-01-22","4","TB-21400"
"CA-2011-110555","2011-04-11","1","MM-18055"
"CA-2011-110639","2011-08-23","2","RH-19495"
"CA-2011-110786","2011-12-29","2","AJ-10795"
"CA-2011-110849","2011-04-18","2","JL-15835"
"CA-2011-111003","2011-06-01","1","CR-12625"
"CA-2011-111150","2011-12-31","2","RW-19630"
"CA-2011-111192","2011-07-30","1","TS-21430"
"CA-2011-111360","2011-11-24","1","AT-10435"
"CA-2011-111451","2011-12-26","4","KL-16555"
"CA-2011-111500","2011-08-17","1","DJ-13510"
"CA-2011-111773","2011-06-29","1","JK-15625"
"CA-2011-111871","2011-03-18","4","EK-13795"
"CA-2011-111899","2011-05-04","4","NC-18340"
"CA-2011-111934","2011-05-05","2","GD-14590"
"CA-2011-112158","2011-12-02","2","DP-13165"
"CA-2011-112291","2011-04-03","1","KE-16420"
"CA-2011-112326","2011-01-05","2","PO-19195"
"CA-2011-112718","2011-12-16","1","KN-16450"
"CA-2011-112837","2011-09-11","1","LW-17125"
"CA-2011-112851","2011-09-17","1","NR-18550"
"CA-2011-113166","2011-12-24","2","LF-17185"
"CA-2011-113257","2011-12-16","4","SC-20305"
"CA-2011-113271","2011-07-09","1","DS-13030"
"CA-2011-113320","2011-12-12","2","LH-17155"
"CA-2011-113383","2011-09-10","2","SF-20065"
"CA-2011-113579","2011-12-13","2","KD-16345"
"CA-2011-113768","2011-05-13","1","AH-10030"
"CA-2011-113859","2011-09-13","2","BC-11125"
"CA-2011-113880","2011-03-01","2","VF-21715"
"CA-2011-113887","2011-04-05","4","TH-21550"
"CA-2011-113929","2011-06-16","1","CK-12205"
"CA-2011-113964","2011-09-23","3","JP-16135"
"CA-2011-114125","2011-07-09","2","GH-14410"
"CA-2011-114181","2011-05-10","1","AF-10885"
"CA-2011-114195","2011-11-01","1","EA-14035"
"CA-2011-114251","2011-11-05","1","MD-17350"
"CA-2011-114314","2011-10-11","2","DB-13555"
"CA-2011-114321","2011-08-20","1","NC-18535"
"CA-2011-114335","2011-09-28","1","XP-21865"
"CA-2011-114510","2011-03-14","1","JF-15295"
"CA-2011-114517","2011-12-23","1","TH-21235"
"CA-2011-114643","2011-06-13","2","FM-14215"
"CA-2011-115056","2011-05-02","2","AR-10510"
"CA-2011-115084","2011-10-18","2","LS-17200"
"CA-2011-115133","2011-09-26","1","DA-13450"
"CA-2011-115161","2011-02-01","2","LC-17050"
"CA-2011-115259","2011-08-25","2","RC-19960"
"CA-2011-115336","2011-11-18","3","AB-10600"
"CA-2011-115791","2011-01-17","4","DL-13315"
"CA-2011-115812","2011-06-09","1","BH-11710"
"CA-2011-115973","2011-11-24","1","NG-18430"
"CA-2011-116190","2011-07-26","1","SG-20470"
"CA-2011-116239","2011-03-04","2","CL-12565"
"CA-2011-116246","2011-09-12","1","LW-17215"
"CA-2011-116407","2011-11-15","1","JF-15190"
"CA-2011-116568","2011-12-14","1","BM-11785"
"CA-2011-116673","2011-12-15","1","JO-15280"
"CA-2011-116757","2011-06-30","2","MS-17980"
"CA-2011-116785","2011-04-26","2","MH-17290"
"CA-2011-116834","2011-10-11","1","Dp-13240"
"CA-2011-116904","2011-09-23","1","SC-20095"
"CA-2011-116932","2011-07-21","1","ME-18010"
"CA-2011-117016","2011-03-04","1","SC-20095"
"CA-2011-117317","2011-10-19","4","JF-15490"
"CA-2011-117345","2011-08-01","1","BF-10975"
"CA-2011-117429","2011-10-07","1","MR-17545"
"CA-2011-117464","2011-07-22","2","NP-18325"
"CA-2011-117709","2011-05-04","1","PM-18940"
"CA-2011-117765","2011-09-07","1","RB-19465"
"CA-2011-118192","2011-01-14","1","MM-17920"
"CA-2011-118276","2011-12-29","2","MG-17890"
"CA-2011-118339","2011-03-17","1","BN-11515"
"CA-2011-118962","2011-08-05","1","CS-12130"
"CA-2011-118976","2011-04-28","1","MY-18295"
"CA-2011-119032","2011-11-27","1","MS-17770"
"CA-2011-119144","2011-11-16","4","JD-16150"
"CA-2011-119151","2011-11-25","2","MP-18175"
"CA-2011-119172","2011-05-11","2","HD-14785"
"CA-2011-119375","2011-11-17","2","YC-21895"
"CA-2011-119466","2011-12-15","1","SP-20860"
"CA-2011-119977","2011-10-08","1","DN-13690"
"CA-2011-120096","2011-07-04","4","KE-16420"
"CA-2011-120243","2011-12-27","2","AT-10435"
"CA-2011-120411","2011-09-20","4","SB-20185"
"CA-2011-120474","2011-12-01","2","RP-19390"
"CA-2011-120544","2011-11-23","2","SS-20140"
"CA-2011-120768","2011-12-19","2","IM-15070"
"CA-2011-120775","2011-10-03","2","RD-19930"
"CA-2011-120838","2011-03-23","2","PO-18865"
"CA-2011-120852","2011-12-20","1","WB-21850"
"CA-2011-120887","2011-09-27","3","TS-21205"
"CA-2011-120950","2011-11-06","1","GA-14515"
"CA-2011-121006","2011-11-10","1","SC-20020"
"CA-2011-121167","2011-11-28","4","MO-17500"
"CA-2011-121286","2011-11-04","1","ON-18715"
"CA-2011-121573","2011-11-03","2","SG-20605"
"CA-2011-121664","2011-05-06","1","HP-14815"
"CA-2011-121727","2011-08-19","1","JK-15625"
"CA-2011-121769","2011-04-08","1","JS-15880"
"CA-2011-122217","2011-11-24","1","HP-14815"
"CA-2011-122567","2011-02-17","2","MN-17935"
"CA-2011-122588","2011-11-25","2","AR-10540"
"CA-2011-122609","2011-11-12","1","DP-13000"
"CA-2011-122679","2011-07-22","1","AB-10255"
"CA-2011-122882","2011-09-07","1","SB-20290"
"CA-2011-122931","2011-09-29","2","SM-20950"
"CA-2011-123064","2011-06-30","2","RA-19915"
"CA-2011-123127","2011-09-08","2","SP-20620"
"CA-2011-123225","2011-07-11","2","MN-17935"
"CA-2011-123253","2011-08-22","2","DE-13255"
"CA-2011-123295","2011-07-18","2","AH-10120"
"CA-2011-123316","2011-10-13","1","SP-20545"
"CA-2011-123498","2011-11-07","2","TC-20980"
"CA-2011-123925","2011-12-17","4","RF-19840"
"CA-2011-124023","2011-04-07","1","PJ-19015"
"CA-2011-124079","2011-12-13","1","RF-19345"
"CA-2011-124247","2011-12-16","1","SH-20635"
"CA-2011-124394","2011-10-17","1","TB-21520"
"CA-2011-124429","2011-05-27","2","MH-17785"
"CA-2011-124464","2011-07-14","3","SS-20515"
"CA-2011-124478","2011-08-08","2","MA-17560"
"CA-2011-124513","2011-09-21","1","SL-20155"
"CA-2011-124646","2011-06-22","1","DV-13465"
"CA-2011-124688","2011-08-27","4","CC-12610"
"CA-2011-124702","2011-11-18","1","MH-17785"
"CA-2011-124723","2011-08-05","1","GZ-14470"
"CA-2011-124737","2011-08-23","1","AP-10915"
"CA-2011-124807","2011-07-12","2","ME-17725"
"CA-2011-124856","2011-09-29","2","LD-17005"
"CA-2011-125136","2011-09-28","1","KD-16495"
"CA-2011-125150","2011-05-16","1","PW-19030"
"CA-2011-125171","2011-09-03","4","AG-10390"
"CA-2011-125556","2011-11-14","4","ML-17410"
"CA-2011-125612","2011-08-03","1","BK-11260"
"CA-2011-125682","2011-11-22","1","RB-19645"
"CA-2011-125731","2011-09-10","1","CL-12565"
"CA-2011-125759","2011-02-09","1","NM-18445"
"CA-2011-125829","2011-11-04","1","WB-21850"
"CA-2011-125997","2011-09-20","2","MW-18220"
"CA-2011-126200","2011-08-25","1","JE-15715"
"CA-2011-126277","2011-09-13","2","LH-16900"
"CA-2011-126403","2011-09-09","2","RR-19525"
"CA-2011-126522","2011-09-01","2","LT-16765"
"CA-2011-126683","2011-09-29","2","PP-18955"
"CA-2011-126760","2011-07-26","1","KM-16720"
"CA-2011-126802","2011-12-29","3","ZC-21910"
"CA-2011-126907","2011-11-01","3","SM-20950"
"CA-2011-126963","2011-06-15","1","PS-18760"
"CA-2011-127012","2011-08-11","1","GM-14680"
"CA-2011-127159","2011-05-12","1","HL-15040"
"CA-2011-127166","2011-05-21","4","KH-16360"
"CA-2011-127299","2011-09-19","2","JL-15835"
"CA-2011-127383","2011-12-31","1","CM-11815"
"CA-2011-127446","2011-11-25","1","MC-17590"
"CA-2011-127488","2011-09-22","4","MS-17365"
"CA-2011-127558","2011-11-15","1","SS-20410"
"CA-2011-127614","2011-02-12","2","NF-18385"
"CA-2011-127691","2011-07-22","2","EM-14065"
"CA-2011-127936","2011-09-02","2","CL-12565"
"CA-2011-127964","2011-03-03","2","AP-10720"
"CA-2011-128146","2011-06-21","2","DB-13060"
"CA-2011-128209","2011-11-17","1","GT-14710"
"CA-2011-128839","2011-09-08","2","TT-21070"
"CA-2011-128846","2011-04-07","1","RS-19765"
"CA-2011-128888","2011-11-15","1","PB-19105"
"CA-2011-128986","2011-08-03","2","GH-14410"
"CA-2011-129091","2011-11-22","2","RA-19885"
"CA-2011-129147","2011-11-02","2","LC-17050"
"CA-2011-129168","2011-08-17","1","KB-16585"
"CA-2011-129189","2011-07-21","1","HM-14860"
"CA-2011-129574","2011-05-26","2","Dp-13240"
"CA-2011-129819","2011-12-13","1","KC-16675"
"CA-2011-129924","2011-07-12","2","AC-10420"
"CA-2011-129938","2011-12-15","1","EB-13705"
"CA-2011-130092","2011-01-12","4","SV-20365"
"CA-2011-130274","2011-05-03","2","JS-15940"
"CA-2011-130421","2011-03-03","1","SC-20020"
"CA-2011-130428","2011-03-31","2","TG-21640"
"CA-2011-130449","2011-09-06","1","VP-21760"
"CA-2011-130575","2011-12-14","1","CS-11845"
"CA-2011-130624","2011-06-21","2","TB-21280"
"CA-2011-130673","2011-05-20","2","MC-17590"
"CA-2011-130813","2011-01-07","2","LS-17230"
"CA-2011-130869","2011-11-17","1","CB-12025"
"CA-2011-131002","2011-09-07","2","TB-21400"
"CA-2011-131009","2011-03-01","1","SC-20380"
"CA-2011-131051","2011-12-01","1","TR-21325"
"CA-2011-131247","2011-03-30","1","GA-14725"
"CA-2011-131310","2011-07-12","1","CL-12565"
"CA-2011-131450","2011-08-08","1","LR-16915"
"CA-2011-131541","2011-07-28","2","CK-12205"
"CA-2011-131800","2011-12-30","1","AJ-10960"
"CA-2011-131905","2011-02-07","1","ND-18460"
"CA-2011-131926","2011-06-01","1","DW-13480"
"CA-2011-132227","2011-11-04","1","SZ-20035"
"CA-2011-132451","2011-09-26","4","KF-16285"
"CA-2011-132612","2011-06-09","4","FO-14305"
"CA-2011-132801","2011-10-07","1","JG-15805"
"CA-2011-133158","2011-08-19","1","DW-13195"
"CA-2011-133228","2011-04-04","1","MS-17710"
